LabID,📚 Projects (collecting data),🏫 Institution,🌍 Country,Lab Name,PI(s),Additional Members,Lab website,Areas of study,Methods
langdevUSC,MB5,University of Southern California,United States,Language Development Lab,"Toby Mintz,Helen Shiyang Lu",Zixi (Zoey) Lyu,https://dornsife.usc.edu/langdevlab/,"Language,Cognitive development","Central looking time,Eye-tracking (monitor),Online studies,Preferential looking,Parent surveys,Headturn preference,Live interaction"
langlabUCLA,"MB1,MB1B","""University of California, Los Angeles""",United States,Language Acquisition Lab,Megha Sundara,Victoria Mateu,https://languagelab.humanities.ucla.edu/en/,,
LanyLabLancaster,"MB5,MB6",Lancaster University,United Kingdom,Lany Research Lab,Jill Lany,"Eleanor Johns,Audred Visaya,Ariadne Brown",,"Language,Attention","Central looking time,Eye-tracking (monitor),Preferential looking"
lcdFSU,MB1,Florida State University,United States,LCD,Arielle Borovsky,,,,
lcdlabUW,MB5,University of Washington,United States,"Language, Cognition, & Development Lab",Ariel Starr,,https://sites.uw.edu/lcdlab,"Language,Memory,Reasoning,Spatial cognition","Eye-tracking (monitor),Free-play interactions"
lcduLeeds,"MB1,MB1L",University of Leeds,United Kingdom,Leeds Child Development Unit,Catherine Davies,Lauren C. Machon,https://leedscdu.org/,,
ldlOttawa,"MB1,MB1B",University of Ottawa,Canada,Language Development Laboratory,Christopher Fennell,,https://socialsciences.uottawa.ca/ldl/,,
lidlWaterloo,MB5,University of Waterloo,Canada,Lab for Infant Development and Language,Katherine S. White,,https://uwaterloo.ca/lab-infant-development-language/,"Language,Social cognition","Preferential looking,Central looking time,Online studies,Parent surveys,Free-play interactions"
LiLabEdUHK,MB2,The Education University of Hong Kong,Hong Kong,Li Lab,Annie Yixun Li,Kaiyue Jia,,,
LILlab,MB5,"""University of California, San Diego""",United States,,Martin Zettersten,,,,
littlelabSC,"MB5,MB5N",Smith College,United States,Little Lab,Brianna T. M. McMillan,,https://www.science.smith.edu/littlelab/,,
littlelearnersLehigh,,Lehigh University,United States,Little Learners Lab,Alexis Smith-Flores,,https://wordpress.lehigh.edu/littlelearnerslab/,"Social cognition,Attention,Emotion,Individual differences","Central looking time,Preferential looking,Online studies,""Reaching (e.g., choice task)"",Manual search"
liulab,,Johns Hopkins University,United States,Look Infer Understand Lab,Shari Liu,Qiong Cao,liulaboratory.org,,
llamaPurdue,,Purdue University,United States,Language Learning and Meaning Acquisition Lab,Arielle Borovsky,,https://www.purdue.edu/hhs/slhs/llamalab/,,
lllLiv,"MB1,MB1B,MB1G,MB1L,MB5",University of Liverpool,United Kingdom,Liverpool Language Lab,Samantha Durrant,"Claire Noble,Ben Yelland,Heather Turnbull",https://www.language05.co.uk/,"Language,Cognitive development","EEG,Eye-tracking (monitor),Naturalistic observation,Preferential looking"
lmuMunich,"MB2,MB-ManyWebcams,MB4,MB4I,MB5",Ludwig-Maximilians-Universität München,Germany,NA,Tobias Schuwerk,"Lucie Zimmer,Adrian Steffan",,,
LNPK,MB5,University of Belgrade,Serbia,Laboratory for Neurocognition and Applied Cognition,Vanja Kovic,"Zorana Zupan,Anđela Šoškić",https://lnpk.f.bg.ac.rs/,"Cognitive development,Language,Memory,Cognitive Neuroscience","EEG,Eye-tracking (mobile),Eye-tracking (monitor)"
lppParisDescartes2,"MB1,MB1B",Université Paris Cité,France,BabyLab LPP (?),Judit Gervain,Caterina Marino,https://baby.biomedicale.parisdescartes.fr/en,,
lscpPSL,"MB1,MB1B,MB1L,MB5","Ecole Normale Supérieure,Université PSL,CNRS,EHESS",France,,"Alejandrina Cristia,Sharon Peperkamp","Naomi Havron,Anne-Caroline Fiévet",https://lscp.dec.ens.fr/en/research/teams-lscp/language-acquisition-across-cultures,,
LUCcogdevlab,MB5,Loyola University Chicago,United States,Cognitive Development Lab,Maggie Guy,"Cidnee Borjas Hall,Natalie Turner",https://www.loyolacrcd.org/cogdevlab,"Attention,Cognitive development,Cognitive Neuroscience,Developmental disorders,Face perception,Visual perception","EEG,Online studies,Parent surveys,Preferential looking"
lulluLancaster,MB3-NIRS,Lancaster University,United Kingdom,Lancaster University Language and Literacy Unit (LULLU),Kate Cain,Laura Diprossimo,http://wp.lancs.ac.uk/language-literacy/,,
MaCunipd,"MB5,MB-AtHome",Università degli Studi di Padova,Italy,Babylab UNIPD,"Silvia Benavides-Varela,Judit Gervain",,https://lilia.dpss.psy.unipd.it/babylab/,"Cognitive development,Memory,Language,Numerical cognition,Sleep,Screen time","Actigraphy,EEG,Eye-tracking (monitor),fNIRS,LENA,Online studies,Parent surveys,""Physio (e.g., heart rate, pulse ox)"""
madlabEmory,MB5,Emory University,United States,Morality and Development Lab,Arber Tasimi,"Skylar Epstein,Anastasiia Grigoreva Crean,Lesenia Fish",https://www.emorymadlab.com ,"Social cognition,Social development,Fairness","Live interaction,Preferential looking,""Reaching (e.g., choice task)"",Central looking time"
madlabUCSD,MB1,"""University of California, San Diego""",United States,Mind and Development Lab,Adena Schachner,Michelle Lee,https://madlab.ucsd.edu/,,
makerere,"MB1-Africa,MB5",Makerere University,Uganda,,Simon Kizito,,,,
malawiCC,MB1-Africa,University of Malawi–Chancellor College,Malawi,,Limbika Maliwichi-Senganimalunje,Tilinao Lamba,,,
